Name,Price,Manufacturer,Category,Stock Availability,Scale,Type,Brand,Series,Review
Entry Grade RX-78-2,9.99,Bandai,Model Kit,In stock,1/144,Entry Grade,Mobile Suit Gundam,Mobile Suit Gundam,4.9
Entry Grade Nu Gundam,14,Bandai,Model Kit,In stock,1/144,Entry Grade,Mobile Suit Gundam,Char's Counterattack,5.0
Entry Grade GAT-X105 Strike Gundam,9.99,Bandai,Model Kit,In stock,1/144,Entry Grade,Mobile Suit Gundam,Gundam Seed,5.0
Entry Grade RX-78-2 (Full Weapon Set),13,Bandai,Model Kit,In stock,1/144,Entry Grade,Mobile Suit Gundam,Mobile Suit Gundam,4.0
Entry Grade Kirby,13,Bandai,Model Kit,In stock,non,Entry Grade,None,None,5.0
Pokémon Eevee,9.99,Bandai,Model Kit,In stock,non,Entry Grade,Pokémon,None,No reviews
Pokémon Model Kit Quick!! 01 Pikachu,9.99,Bandai,Model Kit,In stock,non,Entry Grade,Pokémon,None,No reviews
Pokémon Gengar,13,Bandai,Model Kit,In stock,non,Entry Grade,Pokémon,None,5.0
Pokémon Mewtwo,9.99,Bandai,Model Kit,In stock,non,Entry Grade,Pokémon,None,5.0
Pokémon Pikachu,9.99,Bandai,Model Kit,In stock,non,Entry Grade,Pokémon,None,4.0
Pokémon Lugia,9.99,Bandai,Model Kit,In stock,non,Entry Grade,Pokémon,None,No reviews
Pokémon Ho-Oh,9.99,Bandai,Model Kit,In stock,non,Entry Grade,Pokémon,None,No reviews
Pokémon Model Kit Quick!! 08 Mimikyu,9.99,Bandai,Model Kit,In stock,non,Entry Grade,Pokémon,None,5.0
Pokémon Model Kit Quick!! 06 Piplup,9.99,Bandai,Model Kit,In stock,non,Entry Grade,Pokémon,None,5.0
Pokémon Riolu & Lucario,15,Bandai,Model Kit,In stock,non,Entry Grade,Pokémon,None,No reviews
Pokémon Zekrom,9.99,Bandai,Model Kit,In stock,non,Entry Grade,Pokémon,None,5.0
Pokémon Model Kit Quick!! 07 Eevee (Sleeping Pose),9.99,Bandai,Model Kit,In stock,non,Entry Grade,Pokémon,None,No reviews
Pokémon Greninja,16,Bandai,Model Kit,In stock,non,Entry Grade,Pokémon,None,No reviews
Pokémon Model Kit Quick!! 04 Eevee,9.99,Bandai,Model Kit,In stock,non,Entry Grade,Pokémon,None,5.0
Pokémon Reshiram,9.99,Bandai,Model Kit,In stock,non,Entry Grade,Pokémon,None,No reviews
